"","Country.Name","Year","Value"
"256","United States",1967,4336.42658722171
"257","United States",1968,4695.92339043178
"258","United States",1969,5032.14474262003
"259","United States",1970,5234.2966662115
"260","United States",1971,5609.38259952519
"261","United States",1972,6094.01798986165
"262","United States",1973,6726.35895596695
"263","United States",1974,7225.69135952566
"264","United States",1975,7801.45666356443
"265","United States",1976,8592.25353727612
"266","United States",1977,9452.57651914511
"267","United States",1978,10564.9482220275
"268","United States",1979,11674.1818666548
"269","United States",1980,12574.7915062163
"270","United States",1981,13976.10539252
"271","United States",1982,14433.787727053
"272","United States",1983,15543.8937174925
"273","United States",1984,17121.2254849995
"274","United States",1985,18236.8277265009
"275","United States",1986,19071.2271949295
"276","United States",1987,20038.9410992658
"277","United States",1988,21417.0119305191
"278","United States",1989,22857.1544330056
"279","United States",1990,23888.6000088133
"280","United States",1991,24342.2589048189
"281","United States",1992,25418.9907763319
"282","United States",1993,26387.2937338171
"283","United States",1994,27694.853416234
"284","United States",1995,28690.8757013347
"285","United States",1996,29967.7127181749
"286","United States",1997,31459.1389804773
"287","United States",1998,32853.6769523009
"288","United States",1999,34515.3902272076
"289","United States",2000,36329.9560727102
"290","United States",2001,37133.623113437
"291","United States",2002,37997.7596573051
"292","United States",2003,39490.2749557007
"293","United States",2004,41724.6316287624
"294","United States",2005,44123.4070679055
"295","United States",2006,46302.0008800056
"296","United States",2007,48050.2237771135
"297","United States",2008,48570.0459804586
"298","United States",2009,47194.9433547336
"299","United States",2010,48650.6431283336
"300","United States",2011,50065.9665041742
"301","United States",2012,51784.4185738837
"302","United States",2013,53291.1276891406
"303","United States",2014,55123.8497869046
"304","United States",2015,56762.7294515989
"305","United States",2016,57866.7449341091
"306","United States",2017,59914.777796976
"307","United States",2018,62805.2537579917
"308","United States",2019,65094.7994287929
"309","United States",2020,63027.6795267153
"310","United States",2021,69287.5365879523
